Tweet Created At,Tweet ID,Tweet ID String,Tweet Text,Tweet Coordinates,Tweet Quote Count,Tweet Reply Count,Tweet Retweet Count,Tweet Favorite Count,Tweet Language,User ID,User ID String,User Name,User Screen Name,User Location,User Description,User Followers Count,User Friends Count,User Listed Count,User Favorites Count,User Statuses Count,User Account Created At,User Verified
Sun Sep 24 17:00:28 +0000 2017,911998783084486657,911998783084486657,RT @AndyGr0: Son unos héroes en toda la extensión de la palabra #FuerzaMexico 🇲🇽 https://t.co/Ab47g4s2W5,,0,0,0,0,es,312962370,312962370,eduardo avila j.,eduardoavilaj,puerto vallarta,Ser...Estar.,340,268,1,1302,6982,Tue Jun 07 23:13:51 +0000 2011,False
Tue Sep 19 18:48:04 +0000 2017,910213922166333440,910213922166333440,"@InfosFrancaises magnitude 7.1
prennent cher #Mexico ces jours ci..",,0,0,0,0,fr,11168212,11168212,boly38,boly38,Grenoble/France,Grenoble et son agglomération. Innovations et informatique.,162,215,15,601,1425,Fri Dec 14 16:25:58 +0000 2007,False
Mon Sep 25 20:54:07 +0000 2017,912419970893664256,912419970893664256,RT @TelemundoNews: Voluntarios en Cuernavaca revelan qué les impidió entregar ayuda a damnificados. #NoticiasTelemundo #Mexico… ,,0,0,0,0,es,2262220622,2262220622,juanpijudy,juanpijudy,,,14,25,0,873,165,Thu Dec 26 03:03:00 +0000 2013,False
Mon Sep 25 14:23:08 +0000 2017,912321576720375808,912321576720375808,"RT @imagenZea: ¡Un homenaje a la solidaridad, un aplauso a todos los que han puesto su alma y su corazón! #FuerzaMéxico https://t.co/EOOFwJ…",,0,0,0,0,es,877952804995817472,877952804995817472,El Opinador,ElOpinadorTV,,@averven #ElOpinador en @ImagenZea | Abriendo el espacio a la opinión y el debate | L – V de 5:50 a 8:00 am en #ImagenNoticias con @franciscozea,707,78,1,1648,1274,Thu Jun 22 18:13:55 +0000 2017,False
Tue Sep 26 13:58:10 +0000 2017,912677681518514176,912677681518514176,"RT @cafetacvba: #FuerzaMexico Tacvbos, el miércoles estaremos haciendo una dinámica en apoyo por el  #19S ¿Nos ayudan?… ",,0,0,0,0,es,157166564,157166564,Nelly Zava,libeluk,México ,"Comunicóloga, receptora de la buena música ingeniosa y divertida, gozo del séptimo arte pero disfruto más de quienes me acompañan. #ikyansse",364,1025,64,1384,3304,Sat Jun 19 01:44:45 +0000 2010,False
Mon Sep 25 21:01:49 +0000 2017,912421908670554113,912421908670554113,https://t.co/9ZW3RKgDSY vía @youtube One #FuerzaMéxico #SismoMéxico2017,,0,0,0,0,es,307961935,307961935,monica constante,monicaconstant1,Entre Mexico y Cancun ,"LA VIDA NO SE MIDE POR EL NUMERO DE VECES QUE TOMAMOS ALIENTO, SINO POR LOS EXTRAORDINARIOS MOMENTOS QUE NOS LO QUITAN.",191,223,5,1623,5812,Mon May 30 16:01:16 +0000 2011,False
Sat Sep 23 06:41:18 +0000 2017,911480576829460480,911480576829460480,"RT @vyepesp: Construcción sismo-resistente: las claves de los edificios chilenos #Terremoto 
https://t.co/KsjWR7Gq7K https://t.co/6An9E58FLE",,0,0,0,0,es,2567930236,2567930236,Ruth Vargas,ruthvargas239,,I can find the answers. Dream High,80,662,2,145,309,Tue May 27 21:35:41 +0000 2014,False
Sun Sep 24 18:02:23 +0000 2017,912014364936458240,912014364936458240,"RT @animalgourmet: El @pollofeliz regaló 4,000 porciones individuales en Coyoacán y Benito Juárez ♥️🙌🏼🇲🇽 #FuerzaMexico https://t.co/4tC3ldT…",,0,0,0,0,es,90443113,90443113,Aidee Valero,AideeValero,"Mexico, City","International Marketer / Inbound Marketing Certified / Content, Automation & CRM Specialist / Columnist at @Roastbrief / Super mom & Dancer soul 🌻",1325,539,100,1999,59185,Mon Nov 16 17:44:10 +0000 2009,False
Tue Sep 26 04:29:36 +0000 2017,912534597027745792,912534597027745792,RT @yosoygod: Secc45 Guanajuato #SnteSolidario 👍NI lluvia frena ENTREGA 👉17 Tn a afectados #Sismo Secc59 Oaxaca SOMOS… ,,0,0,0,0,es,208128962,208128962,juan carlos terrazas,jcterrazas,"Chihuahua, México",,137,167,0,660,719,Tue Oct 26 17:52:22 +0000 2010,False
Wed Sep 20 01:57:00 +0000 2017,910321866769825792,910321866769825792,"RT @chochos: Vida es vida, muy bien México. 🇲🇽 #FuerzaMéxico https://t.co/BE82eUsqa0",,0,0,0,0,es,2952139829,2952139829,SASSYDANY εïз,dvpc_,"West Coast, P.R",🇵🇷🇪🇨 relájate y coopera |UPRAG| sc: daniela.v22,834,311,3,7910,27493,Tue Dec 30 23:55:40 +0000 2014,False
Wed Sep 20 12:10:10 +0000 2017,910476175239032833,910476175239032833,RT @webcamsdemexico: Como escena de película RT @rubengluengas: #Sismo  Esto vivieron usuarios del metro de la #CDMX durante #terremoto htt…,,0,0,0,0,es,186686208,186686208,blanca olivas,whity65,,"soy intelgente, leal y divertida jajaja no se como vivir, sólo estoy improvisando !!",651,563,28,10729,40746,Sat Sep 04 03:16:04 +0000 2010,False
Wed Sep 20 17:38:06 +0000 2017,910558702343569409,910558702343569409,RT @officialfey: Se necesitan relevos en esta zona edificio Escocía y Gabriel Mancera 🙏🏼 #MexicoUnido 🇲🇽 Gracias Chic@s https://t.co/VVrv7k…,,0,0,0,0,es,4751243203,4751243203,Alejandra Chagala,iamalechagala,,"Mexicana bajita pero chida.
¡Viva La Vida!
 #Damisela #Caballeros
http://www.tuenlinea.com/especiales/tu-awards-2017.html ¡Vota ahí por los Caballeros!",235,417,0,34896,4075,Wed Jan 13 03:26:35 +0000 2016,False
Fri Sep 22 15:16:03 +0000 2017,911247730021945344,911247730021945344,"#FuerzaMéxico Emmanuel y Mijares donan lo recaudado en concierto a damnificados
https://t.co/DovRVW4kOs https://t.co/Vx2V5jG177",,0,0,0,0,es,163160657,163160657,La Voz de Michoacán,vozmichoacan,"Morelia, Michoacán, México.","Medio digital, televisivo e impreso, líder en información en Michoacán. Inmediatez, veracidad e imparcialidad nos distingue.",92893,971,361,340,222955,Mon Jul 05 18:09:56 +0000 2010,False
Wed Sep 20 09:03:17 +0000 2017,910429144520855554,910429144520855554,"RT @_kuro: URGENTE
Niños Héroes de Chapultepec y Miguel Negrete.
Acaba de colapsar un edificio.
#AyudaCuidadana #FuerzaMexico Lentes y guan…",,0,0,0,0,es,46650178,46650178,Bibiana Nunes,bibinex,"Mexico City, Mexico ",I fight for the users. And sometimes I talk about sports. #allin #UX #ia,1796,1087,122,5047,25711,Fri Jun 12 13:26:45 +0000 2009,False
Mon Sep 25 20:16:20 +0000 2017,912410462406479872,912410462406479872,RT @CremadeCrack: Todo mi amor a este hermoso niño que le reparte sus dulces a los rescatistas #MexicanosFuertes #AyudaCDMX https://t.co/Wf…,,0,0,0,0,es,138713851,138713851,Ezequiel  Abinader,EzeAbinader,"Santiago, Dominican Republic","Soy la oveja negra, soy mi propio villano. Soy tan bueno como quieren que sea y tan malo como me obliguen a serlo
RT ≠ Endorsement",46182,42034,54,6112,117054,Fri Apr 30 10:53:17 +0000 2010,False
Tue Sep 26 11:40:44 +0000 2017,912643095266680832,912643095266680832,"RT @eldengue: ¿Alguien va a donar sangre esta semana? Algo para que se motiven a ayudar #FuerzaMéxico 🇲🇽
Más info por DM. https://t.co/gRnL…",,0,0,0,0,es,289471840,289471840,Kayosaurio,kayotl,Mexico DF,MX de corazón y rostro//Diseñador en Comunicación Visual/Practicante del dibujo//#LaLegiónDelMal,530,649,8,7636,6460,Thu Apr 28 18:15:16 +0000 2011,False
Sun Sep 24 21:51:04 +0000 2017,912071914977361921,912071914977361921,Eres un orgullo Mexicano @yosoy8a GRANDE MEMO 💚🇲🇽 #FuerzaMexico https://t.co/wCqVAeo0JT,,0,0,0,0,es,2385761792,2385761792,Ivan ⚽️,IvanSoccer9,"La Feria, TX",Varsity Soccer for LFHS ⚽️#AzulcremasDeCorazón 🦅💙💛,237,25,0,2449,3797,Wed Mar 12 20:16:36 +0000 2014,False
Tue Sep 19 21:08:00 +0000 2017,910249137538465793,910249137538465793,RT @SoyReferee: Se reportan daños también en el aeropuerto de la CDMX tras el sismo. #FuerzaMéxico https://t.co/KDXxkxpGBl,,0,0,0,0,es,1700553144,1700553144,DNA.♡,petitefleur_7,Mexico City,"I hope to find someone who will never leave me alone. 🌹
moonlight. 🌙",290,394,1,28072,23141,Mon Aug 26 01:10:45 +0000 2013,False
Wed Sep 20 20:27:04 +0000 2017,910601224206000128,910601224206000128,"RT @Berny_13: Gente, hay DOS entradas para Xochimilco. NO LAS SATUREN SI NO SON NECESARIOS. #MexicoUnido #Xochimilco",,0,0,0,0,es,618490292,618490292,Hugo/Cinx,Saga_Shadow,Mexico,"Pasante de Sistemas y estudiante de Periodismo. 
Disque twittero - Gamer - Bloguero frustrado - Hater de Fanboys - Creador de @BaaxalOficial -",153,257,10,1962,5636,Mon Jun 25 22:25:39 +0000 2012,False
Sun Oct 01 01:56:14 +0000 2017,914307940378484736,914307940378484736,RT @reaccionaXvida: A ti que saliste a pedalear para ayudar ¡Gracias! Nuestro reconocimiento y apoyo.#FuerzaMéxico https://t.co/OCefSykkVp,,0,0,0,0,es,140299415,140299415,Daniela Zepeda,zemoda,México,En un universo paralelo escribí Océano mar de Baricco. Y Joaquín Sabina me cantó al oído Esta boca es mía.,714,1644,8,1255,4479,Wed May 05 04:15:24 +0000 2010,False
Sat Sep 30 00:56:26 +0000 2017,913930503329378304,913930503329378304,"#Mexico #CDMX Estos perros todavía piden AUMENTO de SALARIOS, viendo como están los damnificados del SISMO!! NO apo… https://t.co/z050niFYvc",,0,0,0,0,es,2352241093,2352241093,Rodrigo_Aragones,Rodrigo_Aragon7,,,10,9,0,0,1628,Wed Feb 19 20:49:26 +0000 2014,False
Fri Sep 29 14:31:06 +0000 2017,913773133060075520,913773133060075520,"@RodolfoColinSk8 @UNAM_MX Hola! ya hemos donado viveres, calzado y EPP, seguimos recaudando #FuerzaMexico https://t.co/3USboEQifs",,0,0,0,0,es,707983882725883904,707983882725883904,Calzado Van Vien,VanVienCalzado,Estado de México,Van Vien; fabricante de calzado de protección con más de 60 años en el mercado y actualmente promoviendo nuestra línea de calzado con Tecnología Alemana,851,684,6,4,86,Thu Mar 10 17:38:06 +0000 2016,False
Mon Sep 25 18:27:09 +0000 2017,912382985504047104,912382985504047104,'Los jóvenes: el otro sismo'. La #ColumnaDe @ferbelaunzaran en @MexicanTimes ¡Gracias por leer y RT! #FuerzaMexico… https://t.co/K39YloVC8X,,0,0,0,0,es,951486230,951486230,Enlace de Medios,medbelaunzaran,México,Correo: fernando@belaunzaran.me,3590,2312,53,6702,41629,Fri Nov 16 11:20:25 +0000 2012,False
Sun Sep 24 15:40:08 +0000 2017,911978566556028928,911978566556028928,#Lodicho #BinomiosCaninos #CamaraTermografica #Locatel #corazón de #MexicoFuerte #FuerzaMexico #TerremotoEnMexico… https://t.co/qds1VQuRfT,,0,0,0,0,und,74674800,74674800,Luis J Arias Ugalde,arugalde,,,24,114,1,34,1308,Wed Sep 16 07:14:35 +0000 2009,False
Thu Sep 21 18:01:07 +0000 2017,910926882559987715,910926882559987715,"RT @MrMarcoFutbol: Se llama Frida, y ha ayudado a encontrar a 52 personas. #FuerzaMexico 🇲🇽 https://t.co/06Kf6fjBHz",,0,0,0,0,es,72308876,72308876,Camilo Arce Correa,camilo330,"Bogotá, D.C., Colombia",MD. Universidad El Bosque,136,455,0,29,244,Mon Sep 07 15:38:03 +0000 2009,False
Fri Sep 22 09:07:56 +0000 2017,911155090454728705,911155090454728705,#AyudaCDMX se siguen necesitando botas para perro en la fábrica de la obrera #sismo #FuerzaMexco https://t.co/KLjTP9H6S9,,0,0,0,0,es,70575033,70575033,eliae,eeelia,"North Brabant, The Netherlands",👽🎷🐋🎤🐍 Personal nonsense; designer of things.,230,295,10,4087,8318,Tue Sep 01 02:33:13 +0000 2009,False
Thu Sep 21 03:58:08 +0000 2017,910714738853732354,910714738853732354,RT @sopitas: #YoXMéxico es la iniciativa de Layún y Chicharito para ayudar a los damnificados #FuerzaMéxico… ,,0,0,0,0,es,898624057289064449,898624057289064449,Mónica Torres,monicaaisawa,,,0,8,0,25,15,Fri Aug 18 19:14:05 +0000 2017,False
Fri Sep 29 15:22:23 +0000 2017,913786038929154048,913786038929154048,RT @gdeloya: Amigos en los #MunicipiosDeMéxico difundamos esta información para mayor prevención. #FuerzaMéxico 🇲🇽 https://t.co/y0NAJgP4VW,,0,0,0,0,es,398802473,398802473,Carlos Guevara,Guevara2726,,,73,58,0,5032,4679,Wed Oct 26 15:27:30 +0000 2011,False
Thu Sep 21 05:15:00 +0000 2017,910734082983723008,910734082983723008,RT @SampayoJessica: #JóvenesDeTulaConMéxico #Sismo2017 #Víveres #FuerzaMéxico #RT #RT https://t.co/eDvVMZg3eH,,0,0,0,0,und,193577994,193577994,SV,_ShareMonster,,queen gaga follows 🏳️‍🌈,2217,727,13,53942,38347,Wed Sep 22 04:50:20 +0000 2010,False
Sun Sep 24 10:31:33 +0000 2017,911900908992253957,911900908992253957,RT @RevistaEmpire: Mensaje de apoyo para todo México por parte de Henry Cavill 🔥 #FuerzaMéxico https://t.co/T8JftUKApw,,0,0,0,0,es,2258050307,2258050307,Carlos Duran,Jakelogandavid,"Campeche, México","Zorro, se escuchar, sin malos rollos, curioso",498,1349,5,7188,3379,Thu Jan 02 12:14:00 +0000 2014,False
Wed Sep 20 14:19:01 +0000 2017,910508601386643457,910508601386643457,RT @LeaThalia07: @eldiariodedross Saludos #FuerzaMexico RT https://t.co/0S2jSPILnJ,,0,0,0,0,es,710147630358249472,710147630358249472,Oima Chongo,oimachongo,,,1077,174,2,11,5748,Wed Mar 16 16:56:03 +0000 2016,False
Mon Sep 25 05:30:52 +0000 2017,912187627419455488,912187627419455488,"RT @Alina70085372: No sé por qué, pero TE AMO!
@victoriaruffo31 #FuerzaMexico https://t.co/Em1GoxUIUs",,0,0,0,0,es,904414814742749184,904414814742749184,Alina,Alina70085372,,Doar eu,13,37,0,747,96,Sun Sep 03 18:44:29 +0000 2017,False
Wed Sep 20 20:40:00 +0000 2017,910604478985801729,910604478985801729,"RT @SoyReferee: GRANDE RAÚL! ❤️🇲🇽
Metió gol en el Benfica vs Braga y se lo dedicó a nuestro país! #FuerzaMéxico https://t.co/pw12LvUJ5t",,0,0,0,0,es,233647509,233647509,RafaJR,RafaJR14_,De Monterrey para el mundo ,"«El destino te pertenece»
#1530 #03 #FR
#Chichabeliever #ChorizoPower",262,368,2,8588,31483,Mon Jan 03 19:36:30 +0000 2011,False
Tue Sep 26 00:19:27 +0000 2017,912471644718768128,912471644718768128,RT @record_mexico: #Respect ¡ @kskgroup2017 también se solidariza con México 🇲🇽 después del #Sismo! 👏🏼👏🏼 #MexicoNosNecesita https://t.co/wV…,,0,0,0,0,es,196242989,196242989,Qlerator,Qlerator,Qué se sentirá ser libre?,"..Intentando ser otro, pero el mismo.",1377,2024,13,10596,16882,Tue Sep 28 17:25:49 +0000 2010,False
Sun Sep 24 18:55:08 +0000 2017,912027639904382976,912027639904382976,RT @marianita_mdna: 🇲🇽💙🇲🇽🐾🇲🇽💙🇲🇽🐾 #FridaRescatista #UnidosPorLosNuestros #FuerzaMexico #perrosrescatistas https://t.co/GxYIOl3v3V,,0,0,0,0,und,371842312,371842312,Erika Camareno,Bori1221,Houston,News Producer- Informar y no Alarmar hace la diferencia.... Dificil pero se puede!!,243,439,1,220,1517,Sun Sep 11 16:33:34 +0000 2011,False
Fri Sep 29 23:23:20 +0000 2017,913907073976586245,913907073976586245,RT @giselle_zm: El casco de @SChecoPerez #FuerzaMexico https://t.co/5tX24MALTn,,0,0,0,0,es,1626737564,1626737564,Héctor Salazar Grana,hsalazargmx,México,,29,49,0,4535,2667,Sun Jul 28 01:34:45 +0000 2013,False
Wed Sep 27 05:59:07 +0000 2017,912919512504291328,912919512504291328,RT @Reporte_Indigo: La búsqueda en #AlvaroObregón286 no se ha detenido: Roberto Campa https://t.co/wcomnm6Z6l #Sismo #CDMX https://t.co/s28…,,0,0,0,0,es,105861370,105861370,Deliriups,DELHYA,Mexico,,70,264,4,307,1638,Sun Jan 17 18:57:11 +0000 2010,False
Sun Sep 24 13:03:35 +0000 2017,911939169454379009,911939169454379009,RT @RevistaEmpire: Mensaje de apoyo para todo México por parte de Henry Cavill 🔥 #FuerzaMéxico https://t.co/T8JftUKApw,,0,0,0,0,es,3007501912,3007501912,Wherever Rod,scott_sex,,I Only Wanna Sex,112,261,0,3233,275,Sat Jan 31 11:16:06 +0000 2015,False
Wed Sep 20 00:27:01 +0000 2017,910299221751975936,910299221751975936,RT @TownGamePlay: Todo mi ánimo para vosotros/as #FuerzaMexico https://t.co/LdWLNrqvMO,,0,0,0,0,es,2220320828,2220320828,Alexis,AlexisChanZ,"Quintana Roo, México",,17,36,0,1590,282,Thu Nov 28 20:36:04 +0000 2013,False
Mon Sep 25 05:39:05 +0000 2017,912189695232282624,912189695232282624,RT @ArturoCanoMx: Barrenderos de mercado caminaron desde La Merced hasta la Roma para llevar naranjas y tortas a voluntarios. #Sismo https:…,,0,0,0,0,es,558098962,558098962,claudia chavez,claudiacris16,"Playas de Rosarito, Baja Calif",,216,1239,0,7561,6890,Thu Apr 19 22:04:48 +0000 2012,False
Mon Sep 25 20:20:43 +0000 2017,912411565512626187,912411565512626187,RT @JapanEmb_Mexico: El equipo japonés rescató a un perro! (a las 15hs del 24 de septiembre de 2017)  #FuerzaMéxico #LazosJaponMexico https…,,0,0,0,0,es,19397939,19397939,♡♡,jiyong_elena,,"Mexican/Ecuadorian Pride. Kpop and Korean Rap. Pierce The Veil, Fall out boy, anime cosplayer, Bigbang VIP.",130,418,0,3740,5422,Fri Jan 23 15:21:55 +0000 2009,False
Thu Sep 28 00:14:09 +0000 2017,913195086665707521,913195086665707521,RT @marielaenamor: Ayudemos a nuestros hermanos a  reactivar la economía. De los negocios pequeños    Y más grandes. #FuerzaMexico 🇲🇽💋… ,,0,0,0,0,es,1625799776,1625799776,Edith Perez,eperez1450141,,,10,47,1,296,1038,Sat Jul 27 16:13:11 +0000 2013,False
Tue Sep 26 00:55:32 +0000 2017,912480725378719744,912480725378719744,RT @Fabs_Va: Librería remata sus libros tras daños por el sismo #19S https://t.co/PYNZ5ZxFqF,,0,0,0,0,es,362136575,362136575,Abner Vélez Ortiz℠,AbVelez_,En el ombligo de la Luna,• Periodista • RRPP • Activista en #MisiónSonrisasMX • Muy ñoño • Piercing & Tattoos • #GozoPower • Mi tuit - mi opinión • http://goo.gl/WvtGD7,814,424,29,395,31374,Thu Aug 25 22:29:17 +0000 2011,False
Tue Sep 19 21:44:07 +0000 2017,910258226603622401,910258226603622401,RT @EPN: También he indicado que los servicios de emergencia del IMSS e ISSSTE estén abiertos a toda la población. #Sismo,,0,0,0,0,es,24129866,24129866,El Marto,martefabian,México,Biker Mouse from Mars,757,1324,35,1655,8317,Fri Mar 13 04:50:16 +0000 2009,False
Fri Sep 22 19:22:00 +0000 2017,911309625399668736,911309625399668736,"RT @ESPNmx: La sede olímpica Hiroshima hará una donación para afectados por el terremoto

#FuerzaMéxico🇲🇽 

https://t.co/Exus7pbpwJ",,0,0,0,0,es,905264467046531072,905264467046531072,Genis,AGenis73,,"""What Matters Most Is How Well You Walk Through The Fire"" | Necaxa Tv | Necaxa Radio |
Rayo since 92 | Go Hawks | ⚡",147,619,2,301,483,Wed Sep 06 03:00:42 +0000 2017,False
Tue Sep 26 00:11:03 +0000 2017,912469530772955136,912469530772955136,"¿Quieres saber cómo ayudar? Centros de acopio, cuentas para donar y más lugares para #AyudaCDMX en esta liga: https://t.co/l9KC3nqutN",,0,0,0,0,es,2989110833,2989110833,CARLOS MATURANO,carlosmaturano5,,,150,300,7,29,23722,Wed Jan 21 06:50:03 +0000 2015,False
Mon Sep 25 20:22:03 +0000 2017,912411901069611009,912411901069611009,"RT @IrreverenteMil: Me recargo en la pared!
-Dicho popular Mexicano.
#SiguemeyTesigo
#Mexico 
#IrreverentesTeam",,0,0,0,0,es,894469448475848704,894469448475848704,Rich,bint3l3,,,16,1643,0,1965,1206,Mon Aug 07 08:05:09 +0000 2017,False
Fri Sep 22 17:16:04 +0000 2017,911277933238652929,911277933238652929,RT @ImagenTVMex: Ni el cansancio los detiene... #FuerzaMéxico #AbreLosOjos https://t.co/oI84jROwXR,,0,0,0,0,es,903988109557342209,903988109557342209,Joel Granillo,vikingo19660930,México,5550553671,0,34,0,148,98,Sat Sep 02 14:28:55 +0000 2017,False
Mon Sep 25 15:47:08 +0000 2017,912342715991494658,912342715991494658,"RT @JohnMAckerman: Indigna como Televisa, Bonafont, Walmart, EPN y Graco han lucrado con tragedia #SismoMX. Mi análisis hoy @LaJornada… ",,0,0,0,0,es,2878900597,2878900597,Patricia Avalos,93df6b7db36e408,"Coacalco de Berriozábal, Méxic",English Teacher,90,66,0,7427,9359,Mon Oct 27 00:33:26 +0000 2014,False
